feature,importance
num_orders,0.37088692
num_transactions,0.35335654
sales_percentile,0.12405158
sales_zscore,0.07844406
sales_rolling_min_3,0.027064249
sales_rolling_mean_3,0.01264678
sales_rolling_mean_6,0.0060004634
sales_rolling_max_3,0.00547837
sales_lag_6,0.0038183874
avg_order_value,0.0032163346
diff_from_mean_6,0.0030395922
diff_from_mean_3,0.0029310929
sales_lag_1,0.002180329
sales_lag_12,0.0017234406
sales_volatility,0.0016152819
sales_rolling_max_12,0.0013310525
yoy_growth,0.0005901591
diff_from_mean_12,0.0004891876
sales_lag_2,0.0003631388
sales_rolling_max_6,0.00022963999
month_cos,0.00011349942
sales_rolling_std_12,8.587279e-05
sales_rolling_std_6,7.232009e-05
month,6.956404e-05
momentum_3,5.244355e-05
sales_rolling_std_3,2.927882e-05
macd,2.8756634e-05
mom_growth,1.9195219e-05
sales_rolling_mean_12,1.4014783e-05
momentum_6,1.1582548e-05
sales_lag_3,9.339888e-06
year_month,9.312817e-06
quarter_sin,8.103619e-06
sales_rolling_min_6,7.877145e-06
month_time_interaction,5.0294125e-06
month_sin,3.948587e-06
sales_rolling_min_12,1.4893448e-06
volatility_momentum,1.010878e-06
quarter_year_interaction,4.5457261e-07
quarter,3.2315796e-07
time_index,0.0
quarter_cos,0.0
year,0.0
